pond_id,date,lat,lon,pond_area_m2,ndvi_mean_14d,ndvi_anom_14d,chlorophyll_proxy_14d,phosphate_mean_7d,nitrate_mean_7d,turbidity_latest,flow_nearest_station_mean_7d,precip_anom_14d,impervious_pct,agri_pct,eDNA_mcy_detected,eDNA_mcy_rel_abund,toxin_detected,model_prob,model_version
NJ001,2024-06-15,40.7128,-74.0060,15000,0.45,-0.12,8.2,0.025,1.2,12.5,2.3,5.2,15.2,35.8,1,0.0023,1,0.78,v1.0
NJ002,2024-06-15,40.6892,-74.3444,22000,0.52,0.05,6.8,0.018,0.9,8.7,1.8,-2.1,22.1,28.3,0,0.0000,0,0.23,v1.0
NJ003,2024-06-15,40.9176,-74.1718,8500,0.38,-0.08,12.1,0.042,2.1,18.3,3.1,8.7,12.4,45.2,1,0.0045,1,0.85,v1.0
NJ004,2024-06-15,40.8176,-74.2718,31000,0.41,-0.15,4.2,0.012,0.7,6.2,1.2,-1.8,18.7,22.1,0,0.0000,0,0.15,v1.0
NJ005,2024-06-15,40.7456,-74.1234,18500,0.48,0.02,9.5,0.031,1.6,14.2,2.7,3.4,20.3,32.6,1,0.0018,1,0.72,v1.0
NJ006,2024-06-15,40.6734,-74.4567,12000,0.55,0.08,5.9,0.016,0.8,7.8,1.5,-3.2,25.8,18.9,0,0.0000,0,0.28,v1.0
NJ007,2024-06-15,40.8234,-74.0987,27500,0.36,-0.18,15.3,0.055,2.8,22.1,4.2,12.3,8.9,52.3,1,0.0067,1,0.92,v1.0
NJ008,2024-06-15,40.7891,-74.3245,9800,0.43,-0.05,7.1,0.021,1.1,10.4,2.1,1.8,17.6,26.7,0,0.0001,0,0.35,v1.0
NJ009,2024-06-15,40.6512,-74.2134,16200,0.49,0.03,8.8,0.028,1.4,13.7,2.5,4.6,19.2,29.8,1,0.0021,0,0.68,v1.0
NJ010,2024-06-15,40.8567,-74.1876,24000,0.39,-0.11,11.2,0.038,1.9,16.8,3.4,7.8,14.1,38.4,1,0.0034,1,0.81,v1.0
NJ011,2024-06-16,40.7128,-74.0060,15000,0.46,-0.10,8.5,0.027,1.3,13.2,2.4,4.8,15.2,35.8,1,0.0025,1,0.79,v1.0
NJ012,2024-06-16,40.6892,-74.3444,22000,0.51,0.03,7.1,0.019,1.0,9.1,1.9,-1.5,22.1,28.3,0,0.0000,0,0.26,v1.0
NJ013,2024-06-16,40.9176,-74.1718,8500,0.37,-0.10,12.8,0.045,2.3,19.1,3.3,9.2,12.4,45.2,1,0.0048,1,0.87,v1.0
NJ014,2024-06-16,40.8176,-74.2718,31000,0.42,-0.12,4.5,0.014,0.8,6.8,1.4,-1.2,18.7,22.1,0,0.0000,0,0.18,v1.0
NJ015,2024-06-16,40.7456,-74.1234,18500,0.47,0.01,9.8,0.033,1.7,14.8,2.8,2.9,20.3,32.6,1,0.0020,1,0.74,v1.0
NJ016,2024-07-01,40.7128,-74.0060,15000,0.62,0.15,14.2,0.048,2.4,21.5,3.8,18.7,15.2,35.8,1,0.0056,1,0.94,v1.0
NJ017,2024-07-01,40.6892,-74.3444,22000,0.58,0.11,9.3,0.032,1.6,12.4,2.6,8.2,22.1,28.3,1,0.0012,0,0.58,v1.0
NJ018,2024-07-01,40.9176,-74.1718,8500,0.55,0.08,18.6,0.067,3.1,28.2,4.7,22.1,12.4,45.2,1,0.0089,1,0.96,v1.0
NJ019,2024-07-01,40.8176,-74.2718,31000,0.49,0.02,6.8,0.022,1.2,9.5,2.1,3.4,18.7,22.1,0,0.0002,0,0.31,v1.0
NJ020,2024-07-01,40.7456,-74.1234,18500,0.60,0.13,15.8,0.051,2.6,23.1,4.1,16.3,20.3,32.6,1,0.0061,1,0.91,v1.0
NJ021,2024-07-15,40.7128,-74.0060,15000,0.68,0.21,18.5,0.062,3.1,28.7,4.9,25.3,15.2,35.8,1,0.0078,1,0.97,v1.0
NJ022,2024-07-15,40.6892,-74.3444,22000,0.61,0.14,11.2,0.038,1.9,15.6,3.2,12.4,22.1,28.3,1,0.0018,1,0.73,v1.0
NJ023,2024-07-15,40.9176,-74.1718,8500,0.59,0.12,21.3,0.078,3.6,32.8,5.4,28.9,12.4,45.2,1,0.0105,1,0.98,v1.0
NJ024,2024-07-15,40.8176,-74.2718,31000,0.53,0.06,8.1,0.026,1.4,11.2,2.5,5.7,18.7,22.1,0,0.0003,0,0.42,v1.0
NJ025,2024-07-15,40.7456,-74.1234,18500,0.65,0.18,19.2,0.058,2.9,26.4,4.5,21.8,20.3,32.6,1,0.0072,1,0.95,v1.0